dataset,method,epsilon,domias_auc_mean,domias_auc_std,domias_auc_count,dist_mia_auc_mean,dist_mia_auc_std,dist_mia_auc_count,dcr_q_mean,dcr_q_std,dcr_q_count,normdcr_mean,normdcr_std,normdcr_count
adult_income,ctgan,,0.49772164408423647,0.0013950317377975092,5,0.5010022222222222,0.019031631239973118,5,0.20290080207201622,0.01347797888905583,5,1.2400458376589556,0.14062397881119054,5
adult_income,gaussian_copula,,0.49846452775707795,0.0021519042127266623,5,0.49808,0.02866229014826293,5,0.37532062470424565,0.017654773964072605,5,2.297494813590487,0.26739377338287273,5
adult_income,madifft,,0.4984617222998645,0.0022135993586554956,5,0.49962,0.010217995502972444,5,1.7438989107620855,0.4220858438288646,5,10.814625318621713,3.107949582273282,5
adult_income,tabddpm_single,,0.4973463738117182,0.004448676161580998,5,0.48649555555555557,0.02543930637108599,5,0.44986752775157335,0.05689978106647393,5,2.7699321098002145,0.5370820149770563,5
adult_income,tvae,,0.5006878890266439,0.0025551039685644222,5,0.5082577777777778,0.022411418771644636,5,0.15705356378323157,0.012726031783507176,5,0.9683342836887624,0.18328288875867596,5
breast_cancer,ctgan,,0.46085073609252286,0.02708441619319145,5,0.4547251461988305,0.026206967982233126,5,4.391351341507271,0.30065153492172103,5,4.085078514355459,0.27968272864160204,5
breast_cancer,gaussian_copula,,0.4688442211055276,0.02061239142677551,5,0.4838245614035088,0.007622510352080649,5,1.4743237850761255,0.0,5,1.3714977348067254,0.0,5
breast_cancer,madifft,,0.44787631625464003,0.030140721731300918,5,0.4507719298245614,0.038672382415059214,5,11.064690332704469,2.6889368383813443,5,10.292988474616852,2.501398146193478,5
breast_cancer,tabddpm_single,,0.47423549910355794,0.011175531609378925,5,0.47342690058479536,0.019328993756996603,5,9.09090765756037,1.3227828144440072,5,8.456866385722304,1.230525921114097,5
breast_cancer,tvae,,0.47466351859801514,0.027628436282991366,5,0.4777309941520468,0.0063181444602299465,5,1.5843635307351356,0.008362369164039138,5,1.4738628078237408,0.007779139482244066,5
credit,ctgan,,0.49608163265306116,0.017619747438364537,5,0.5152266666666667,0.0141851526447746,5,0.4578033369340531,0.03752488001112191,5,1.456137202176778,0.09436634116287432,5
credit,gaussian_copula,,0.508514693877551,0.007700517948578802,5,0.52858,0.0068381933936448825,5,0.3896779326871827,0.014076196748662048,5,1.2404162916050554,0.03605508323233367,5
credit,madifft,,0.4759775510204081,0.04684134713405214,5,0.48206,0.044016533509832693,5,1.9301677683929648,1.0131209982797178,5,6.0593527850269435,3.054916508163027,5
credit,tabddpm_single,,0.4728220408163265,0.017374965318672553,5,0.56884,0.015757227618531815,5,0.7308235059126742,0.06686411994338977,5,2.3294504331536072,0.24383093252037677,5
credit,tvae,,0.49518367346938774,0.01703229244227664,5,0.5147733333333333,0.013986608674808282,5,0.21388883359825156,0.0177691783544881,5,0.6821750110116778,0.0728797923612441,5
heart,ctgan,,0.5426331849612274,0.07609072922579646,5,0.5092690574172056,0.08053136951914015,5,1.4933626934896704,0.31053320786123234,5,3.598320162018589,0.7482428131455869,5
heart,gaussian_copula,,0.5266537890876515,0.026897068828427267,5,0.508132471095434,0.0,5,0.9223416924829924,0.0,5,2.222421065425428,0.0,5
heart,madifft,,0.48663811203493745,0.043493206666643594,5,0.44166176758769354,0.05339616725734244,5,3.567388616872047,0.3782862634040867,5,8.595772776303846,0.9114966475028091,5
heart,tabddpm_single,,0.5356289017664679,0.07550834838130091,5,0.5505388986870468,0.06031203575217679,5,3.0924917518604675,0.2809810314679294,5,7.451488824588532,0.6770356023245757,5
heart,tvae,,0.5443184681279919,0.04484245085027061,5,0.5448167744464041,0.009767146691751475,5,0.5473337804514438,0.04370316458356293,5,1.3188237433131706,0.1053046114990142,5
pima,ctgan,,0.5197368649195996,0.026591154002383703,5,0.5171948051948052,0.014988873518101842,5,0.6785433698190363,0.08452610122810741,5,1.4224111263432877,0.21356440871036975,5
pima,gaussian_copula,,0.5172594835089763,0.006936131547314284,5,0.5079913419913419,0.006786299401025017,5,0.5854321017173971,0.011607053140911762,5,1.2265287660090995,0.10396330359033977,5
pima,madifft,,0.5574205271717834,0.017371745736638754,5,0.5443549783549784,0.016543526655696913,5,0.5280627295928929,0.034710086125682584,5,1.1085797117118252,0.14258026183708022,5
pima,tabddpm_single,,0.5650628188189438,0.01470413687599188,5,0.5572900432900433,0.01364490215738663,5,0.48613917913402227,0.03235558829514298,5,1.014880952539881,0.04437161617749829,5
pima,tvae,,0.5193297476497127,0.009986335889030524,5,0.5085108225108226,0.01168605076738112,5,0.42536056641774955,0.02592105570903666,5,0.8903232817432561,0.07739384538313882,5
