run_tag,dataset,method,epsilon,seed,dcr_q,norm_dcr,mia_auc,alpha,q,status,fallback_used,notes
UNIFIED_FINAL_20260410,adult_income,ctgan,,1,0.2121174907702527,1.047795434267378,0.49046666666666666,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,tabddpm_single,,1,0.3808723618571004,1.8813928089727752,0.47763333333333335,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,madifft,,1,1.1199318294833243,5.5321202101826135,0.4898,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,gaussian_copula,,2,0.362360728144783,2.5039043298296177,0.5164444444444445,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,tvae,,2,0.17253917774285646,1.192241765346503,0.5239444444444444,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,ctgan,,2,0.20363472883592967,1.4071113110034337,0.4867,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,tabddpm_single,,2,0.3982073015259045,2.75160333065148,0.5054,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,madifft,,2,1.5955749956289993,11.02538666532052,0.5102333333333333,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,gaussian_copula,,3,0.40570363509148494,2.4772884338410646,0.47436666666666666,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,tvae,,3,0.14697007621221236,0.8974217592089183,0.49274444444444443,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,ctgan,,3,0.1981037211127004,1.209651614047539,0.4951333333333333,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,tabddpm_single,,3,0.4889225530769238,2.9854358724401986,0.4713888888888889,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,madifft,,3,2.1174756790742886,12.929630289182946,0.4876444444444445,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,gaussian_copula,,4,0.3688934814780339,2.4020057625252735,0.47306666666666664,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,tvae,,4,0.16917181872488643,1.1015420543782495,0.4823111111111111,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,ctgan,,4,0.1829337183195379,1.1911510168277943,0.49864444444444445,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,tabddpm_single,,4,0.5089245388782258,3.313801236546944,0.45811111111111114,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,adult_income,madifft,,4,1.7404694174436965,11.332858345580995,0.5063555555555556,0.5,0.01,success,,"Samples: real(500), syn(800)"
UNIFIED_FINAL_20260410,pima,gaussian_copula,,0,0.5802211245069753,1.199457221153462,0.5091774891774891,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tvae,,0,0.459501244878688,0.9499000691625485,0.49402597402597404,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,ctgan,,0,0.7319550965838274,1.5131279939239735,0.5233333333333333,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tabddpm_single,,0,0.4640075634064129,0.9592157180946521,0.5489610389610389,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,madifft,,0,0.5170609310791856,1.068889844516176,0.5261904761904763,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,gaussian_copula,,1,0.6061953355526416,1.4035267791110817,0.5151082251082251,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tvae,,1,0.41541793551951833,0.9618190092029385,0.5033766233766233,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,ctgan,,1,0.6856641504081046,1.5875212825530782,0.531948051948052,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tabddpm_single,,1,0.4530741819977646,1.0490046855573163,0.5481818181818182,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,madifft,,1,0.5776182557469184,1.3373621380724605,0.5365800865800865,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,gaussian_copula,,2,0.5802211245069753,1.2005727782859352,0.4967099567099567,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tvae,,2,0.40012828406185935,0.8279311203554005,0.5212121212121212,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,ctgan,,2,0.7854716107593254,1.6252697362498651,0.49268398268398267,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tabddpm_single,,2,0.5136138544300256,1.0627513996550304,0.576017316017316,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,madifft,,2,0.5490396832723179,1.136053256412508,0.5423809523809524,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,gaussian_copula,,3,0.5803017995134184,1.2020552270651605,0.5099567099567099,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tvae,,3,0.4457014042981603,0.9232397748828582,0.5198701298701299,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,ctgan,,3,0.5843265934552804,1.2103923106305259,0.5147619047619048,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tabddpm_single,,3,0.47293242515185496,0.979646959873411,0.5456709956709956,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,madifft,,3,0.5021952715380757,1.04026293157444,0.5458441558441558,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,gaussian_copula,,4,0.5802211245069753,1.1270318244298587,0.5090043290043289,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tvae,,4,0.4060539633305217,0.7887264351125347,0.5040692640692641,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,ctgan,,4,0.6052993978886435,1.1757443083589965,0.5232467532467533,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,tabddpm_single,,4,0.5270678706840531,1.0237859995189955,0.5676190476190476,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,pima,madifft,,4,0.4943995063279672,0.9603303879835415,0.5707792207792208,0.5,0.01,success,,"Samples: real(500), syn(537)"
UNIFIED_FINAL_20260410,heart,gaussian_copula,,0,0.9223416924829922,2.222421065425428,0.508132471095434,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tvae,,0,0.5268523679872155,1.269472919338565,0.5451695081324711,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,ctgan,,0,1.4165542625439593,3.4132470201155187,0.4334705075445816,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tabddpm_single,,0,2.9157425899209657,7.025604291782504,0.5729962766999803,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,madifft,,0,3.627002784443183,8.739415618091936,0.3838918283362728,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,gaussian_copula,,1,0.9223416924829922,2.222421065425428,0.508132471095434,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tvae,,1,0.5077925010477323,1.2235473690400847,0.5463452870860278,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,ctgan,,1,1.5318089968194963,3.6909581454300526,0.508132471095434,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tabddpm_single,,1,2.7240373572716745,6.563682478137586,0.4977464236723496,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,madifft,,1,3.1066800105918198,7.485676030201429,0.40662355477170287,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,gaussian_copula,,2,0.9223416924829922,2.222421065425428,0.508132471095434,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tvae,,2,0.6166096208127333,1.485746791678804,0.5600627082108564,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,ctgan,,2,1.7857522126250336,4.302844994769793,0.5206741132667059,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tabddpm_single,,2,3.1105523631851435,7.495006626493774,0.5874975504605134,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,madifft,,2,3.9831526637378802,9.597573717898157,0.44542426023907505,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,gaussian_copula,,3,0.9223416924829922,2.222421065425428,0.508132471095434,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tvae,,3,0.5628927568385377,1.3563137507160092,0.5361552028218695,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,ctgan,,3,1.0053855295555367,2.4225186804068555,0.44738389182833627,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tabddpm_single,,3,3.425115469250631,8.252959648701413,0.47697432882618074,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,madifft,,3,3.863062375442527,9.308211121979806,0.52400548696845,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,gaussian_copula,,4,0.9223416924829922,2.222421065425428,0.508132471095434,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tvae,,4,0.5225216555710005,1.2590378857923903,0.5363511659807956,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,ctgan,,4,1.7273124659043257,4.162031969370724,0.63668430335097,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,tabddpm_single,,4,3.287010979673923,7.920191077827379,0.61747991377621,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,heart,madifft,,4,3.2570452501448264,7.847987393347907,0.44836370762296696,0.5,0.01,success,,"Samples: real(189), syn(189)"
UNIFIED_FINAL_20260410,credit,gaussian_copula,,0,0.3922163718798578,1.2163439364113262,0.5387666666666666,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,tvae,,0,0.2201264718840038,0.6826576311346388,0.5195333333333334,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,ctgan,,0,0.44408011057755875,1.3771840966071216,0.49293333333333333,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,tabddpm_single,,0,0.6283026568172676,1.9484962424896084,0.5567,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,madifft,,0,2.769529556504852,8.58888288273319,0.4497666666666667,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,gaussian_copula,,1,0.39238128559983937,1.2959337155823525,0.5203666666666668,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,tvae,,1,0.21035407249971275,0.6947449961730384,0.4943,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,ctgan,,1,0.446722297429846,1.4754079972410952,0.5199333333333334,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,tabddpm_single,,1,0.7156301832737518,2.3635410668862256,0.5859666666666666,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,madifft,,1,0.7642730801157873,2.524195951190458,0.5366666666666667,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,gaussian_copula,,2,0.39240771038048805,1.218970561553389,0.5250333333333334,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,tvae,,2,0.20999979013575296,0.6523408060959474,0.5077333333333334,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,ctgan,,2,0.5171133721628651,1.6063547197911467,0.5207,0.5,0.01,success,,"Samples: real(500), syn(700)"
UNIFIED_FINAL_20260410,credit,tabddpm_single,,2,0.7304836199628679,2.269165474776984,0.5720333333333334,0.5,0.01,success,,"Samples: real(500), syn(700)"
