dataset,GC_mean,GC_std,TVAE_mean,TVAE_std,CTGAN_mean,CTGAN_std,TabDDPM_mean,TabDDPM_std,TabSyn_mean,TabSyn_std,STaSy_mean,STaSy_std,MADiffT_mean,MADiffT_std
breast_cancer,0.9298245614035088,0.0,0.9228070175438597,0.023537557657892536,0.6508771929824562,0.18299515523375856,0.6333333333333333,0.0039229262763154325,0.8982456140350876,0.10408699631011455,0.3157894736842105,0.09846466807299849,0.6157894736842106,0.0453263532728555
adult_income,0.7855168601437258,0.0,0.8025649530127141,0.012178338895396696,0.8214483139856273,0.0037189360290888042,0.7353454947484799,0.018922985755914314,0.8509314227226202,0.0027018392551723756,0.5502968270214943,0.28811935246976905,0.7339303482587065,0.00939797741869469
pima,0.7077922077922078,0.0,0.7155844155844155,0.010669919951399359,0.5948051948051948,0.05709118088398253,0.6233766233766234,0.05071590698640685,0.7454545454545455,0.09916160607179783,0.3506493506493506,0.00918320495047465,0.6402597402597403,0.03330099066222875
heart,0.7592592592592593,0.0,0.7814814814814814,0.02028602064833946,0.47407407407407404,0.11460554405011707,0.47407407407407404,0.15962490325562928,0.837037037037037,0.10006856360078743,0.6222222222222222,0.12668615834434865,0.5037037037037037,0.11520245196293181
credit,0.69,0.0,0.702,0.024647515087732455,0.6759999999999999,0.03267261850540902,0.701,0.004183300132670382,0.728,0.01923538406167134,0.43,0.16446884203398526,0.689,0.024596747752497643
