Dataset,Accuracy Mean,Accuracy Std,F1 Macro Mean,F1 Macro Std,ROC-AUC Mean,ROC-AUC Std
AdultIncome,0.8492868988391375,0.0031546920971025146,0.784910589921233,0.004666415040755688,0.9055843220240638,0.0028384748408842174
BreastCancer,0.9824561403508772,0.006202691063039848,0.9809954399900835,0.006698201219617792,0.9971560846560846,0.0012059909079901363
GermanCredit,0.768,0.04868264577855235,0.7050987697013653,0.0666970258722695,0.795952380952381,0.05796793966908313
Heart,0.825925925925926,0.062250875236931874,0.8233632807160122,0.0626242183517686,0.9127777777777778,0.03772310177341476
PIMA,0.7558441558441558,0.02498101826191087,0.7156607269133237,0.026363228646322807,0.8176666666666668,0.03957043866211508
