run_tag,dataset,source_dataset,method,epsilon,seed,classifier,metric_name,metric,metric_value,value,converged,n_iter,status,fallback_used,n_synth,notes
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,0,logistic_regression,roc_auc,roc_auc,0.3531746031746032,35.317460317460316,True,29,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,1,logistic_regression,accuracy,accuracy,0.3684210526315789,36.84210526315789,True,28,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,1,logistic_regression,f1_macro,f1_macro,0.2692307692307692,26.923076923076923,True,28,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,1,logistic_regression,roc_auc,roc_auc,0.2367724867724868,23.67724867724868,True,28,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,2,logistic_regression,accuracy,accuracy,0.3684210526315789,36.84210526315789,True,34,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,2,logistic_regression,f1_macro,f1_macro,0.2692307692307692,26.923076923076923,True,34,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,2,logistic_regression,roc_auc,roc_auc,0.2804232804232804,28.04232804232804,True,34,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,3,logistic_regression,accuracy,accuracy,0.3508771929824561,35.08771929824561,True,31,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,3,logistic_regression,f1_macro,f1_macro,0.2597402597402597,25.97402597402597,True,31,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,3,logistic_regression,roc_auc,roc_auc,0.13095238095238096,13.095238095238097,True,31,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,4,logistic_regression,accuracy,accuracy,0.14035087719298245,14.035087719298245,True,136,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,4,logistic_regression,f1_macro,f1_macro,0.14035087719298245,14.035087719298245,True,136,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,stasy,,4,logistic_regression,roc_auc,roc_auc,0.08333333333333337,8.333333333333337,True,136,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,0,logistic_regression,accuracy,accuracy,0.9473684210526315,94.73684210526315,True,306,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,0,logistic_regression,f1_macro,f1_macro,0.942866688940862,94.2866688940862,True,306,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,0,logistic_regression,roc_auc,roc_auc,0.9880952380952381,98.80952380952381,True,306,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,1,logistic_regression,accuracy,accuracy,0.7192982456140351,71.9298245614035,True,275,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,1,logistic_regression,f1_macro,f1_macro,0.6013986013986015,60.13986013986015,True,275,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,1,logistic_regression,roc_auc,roc_auc,0.4014550264550265,40.14550264550265,True,275,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,2,logistic_regression,accuracy,accuracy,0.9649122807017544,96.49122807017544,True,271,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,2,logistic_regression,f1_macro,f1_macro,0.9629870129870131,96.2987012987013,True,271,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,2,logistic_regression,roc_auc,roc_auc,1.0,100.0,True,271,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,3,logistic_regression,accuracy,accuracy,0.9649122807017544,96.49122807017544,True,246,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,3,logistic_regression,f1_macro,f1_macro,0.9623015873015872,96.23015873015872,True,246,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,3,logistic_regression,roc_auc,roc_auc,0.9933862433862435,99.33862433862434,True,246,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,4,logistic_regression,accuracy,accuracy,0.8947368421052632,89.47368421052632,True,290,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,4,logistic_regression,f1_macro,f1_macro,0.8906649616368286,89.06649616368286,True,290,success,,455,
TSTR_TABSYN_STASY_20260301_122820,breast_cancer,breast_cancer,tabsyn,,4,logistic_regression,roc_auc,roc_auc,0.9933862433862434,99.33862433862434,True,290,success,,455,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,0,logistic_regression,accuracy,accuracy,0.32,32.0,True,385,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,0,logistic_regression,f1_macro,f1_macro,0.2621527777777778,26.21527777777778,True,385,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,0,logistic_regression,roc_auc,roc_auc,0.5004761904761904,50.047619047619044,True,385,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,1,logistic_regression,accuracy,accuracy,0.61,61.0,True,221,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,1,logistic_regression,f1_macro,f1_macro,0.4729017434788485,47.29017434788485,True,221,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,1,logistic_regression,roc_auc,roc_auc,0.5566666666666666,55.666666666666664,True,221,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,2,logistic_regression,accuracy,accuracy,0.31,31.0,True,473,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,2,logistic_regression,f1_macro,f1_macro,0.264,26.400000000000002,True,473,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,2,logistic_regression,roc_auc,roc_auc,0.55,55.00000000000001,True,473,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,3,logistic_regression,accuracy,accuracy,0.3,30.0,True,432,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,3,logistic_regression,f1_macro,f1_macro,0.23076923076923078,23.076923076923077,True,432,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,3,logistic_regression,roc_auc,roc_auc,0.55,55.00000000000001,True,432,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,4,logistic_regression,accuracy,accuracy,0.61,61.0,True,157,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,4,logistic_regression,f1_macro,f1_macro,0.4729017434788485,47.29017434788485,True,157,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,stasy,,4,logistic_regression,roc_auc,roc_auc,0.4642857142857143,46.42857142857143,True,157,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,0,logistic_regression,accuracy,accuracy,0.72,72.0,True,449,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,0,logistic_regression,f1_macro,f1_macro,0.5780590717299579,57.80590717299579,True,449,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,0,logistic_regression,roc_auc,roc_auc,0.7328571428571428,73.28571428571428,True,449,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,1,logistic_regression,accuracy,accuracy,0.72,72.0,True,317,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,1,logistic_regression,f1_macro,f1_macro,0.6162280701754386,61.622807017543856,True,317,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,1,logistic_regression,roc_auc,roc_auc,0.7161904761904762,71.61904761904762,True,317,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,2,logistic_regression,accuracy,accuracy,0.71,71.0,True,325,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,2,logistic_regression,f1_macro,f1_macro,0.6277756385573097,62.77756385573097,True,325,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,2,logistic_regression,roc_auc,roc_auc,0.6557142857142858,65.57142857142858,True,325,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,3,logistic_regression,accuracy,accuracy,0.76,76.0,True,152,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,3,logistic_regression,f1_macro,f1_macro,0.6710526315789473,67.10526315789474,True,152,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,3,logistic_regression,roc_auc,roc_auc,0.7785714285714285,77.85714285714285,True,152,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,4,logistic_regression,accuracy,accuracy,0.73,73.0,True,496,success,,800,
