run_tag,dataset,method,epsilon,seed,domias_auc,dist_mia_auc,dcr_q,normdcr,status,error
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,0,,0.48802222222222225,6.163235194117737,38.06176200658476,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,0,,0.4840222222222222,6.0682266258351145,37.47502575514154,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,0,,0.47506666666666664,6.102941535666279,37.68941164087488,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,0,,0.48133333333333334,6.208014956956953,38.33830454020804,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,0,,0.48201111111111117,6.151977271781408,37.992237422959754,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,0,,0.48294444444444445,6.217534924676188,38.39709618683962,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,0,,0.48671111111111115,6.193532180569573,38.24886450251856,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,madifft,,1,,0.4898,1.1199318294833243,5.5321202101826135,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,1,,0.48475555555555555,6.65666115863624,32.8818672338462,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,1,,0.49972222222222223,6.653002612656597,32.863795137294396,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,1,,0.49229999999999996,6.645120196433208,32.82485841548107,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,1,,0.49002222222222214,6.647614806556391,32.83718102540757,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,1,,0.4967111111111111,6.642477943664539,32.811806496107806,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,1,,0.49164444444444444,6.647128610461476,32.83477936561723,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,1,,0.4970555555555556,6.6471221657907,32.83474753091755,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,madifft,,2,,0.5102333333333333,1.5955749956289993,11.02538666532052,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,2,,0.5139,6.342444854664187,43.82614864090337,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,2,,0.5138666666666667,6.3116430947319735,43.61330918543725,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,2,,0.5125444444444445,6.3116430947319735,43.61330918543725,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,2,,0.5148222222222223,6.318699106492677,43.66206606505114,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,2,,0.5177999999999999,6.356722114420092,43.92480417872597,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,2,,0.5187222222222222,6.299084241751611,43.526527799065114,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,2,,0.5093333333333333,6.289131179606251,43.45775236766441,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,madifft,,3,,0.4876444444444445,2.1174756790742886,12.929630289182946,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,3,,0.4762222222222222,5.7389497533518075,35.04290476265406,skipped,Strong audits skipped.
