run_tag,dataset,method,epsilon,seed,dcr_q,norm_dcr,mia_auc,alpha,q,status,fallback_used,notes
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.5,0.5,1,3.1951469033691398,2.9723028175382993,0.46497076023391815,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps1,1.0,1,2.607181032236739,2.4253443620317885,0.4558479532163743,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps2,2.0,1,2.739229156193268,2.548182848885954,0.481812865497076,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps5,5.0,1,2.90486591051564,2.7022673421657943,0.48847953216374274,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps10,10.0,1,2.5335755404055638,2.3568724521720563,0.4677777777777778,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,madifft,,2,10.455221390909594,9.726026670454164,0.4530409356725146,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.1,0.1,2,3.2147837395967453,2.9905700914421396,0.41678362573099415,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.2,0.2,2,3.405706639645564,3.1681771595707766,0.46263157894736845,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.5,0.5,2,3.1384775008152848,2.9195857970152606,0.46602339181286556,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps1,1.0,2,3.605705407726357,3.3542271033914823,0.493859649122807,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps2,2.0,2,3.3975190550478658,3.16056061438379,0.4671345029239766,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps5,5.0,2,2.8835366548147623,2.682425685824778,0.4808771929824562,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps10,10.0,2,2.4784638147403575,2.305604469062622,0.4890643274853801,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,madifft,,3,14.20416773041624,13.213504431168607,0.3904678362573099,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.1,0.1,3,3.246780660636003,3.020335401593373,0.438187134502924,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.2,0.2,3,3.271791581844796,3.043601947334896,0.45210526315789473,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.5,0.5,3,3.084797162745768,2.8696493700164925,0.44649122807017544,0.5,0.01,success,,"Samples: real(398), syn(398)"
