dataset,method,dcr_mean,dcr_std,mia_mean,mia_std
adult_income,CTGAN,0.2029008020720161,0.0134779788890558,0.5010022222222222,0.0190316312399731
adult_income,GC,0.3753206247042456,0.0176547739640725,0.4980799999999999,0.0286622901482629
adult_income,MADiffT,2.0492090902807822,0.3584150016252062,0.5095133333333333,0.016099638443912115
adult_income,STaSy,1.709593452513938,0.1497406684201362,0.5095444444444445,0.0164375210650946
adult_income,TVAE,0.1570535637832315,0.0127260317835071,0.5082577777777778,0.0224114187716446
adult_income,TabDDPM,0.4243741455081428,0.0509616523884694,0.4895755555555555,0.0158897385165224
adult_income,TabSyn,0.1859956745037263,0.0083197602291024,0.5110844444444445,0.0375209888587477
breast_cancer,CTGAN,4.391351341507271,0.300651534921721,0.4547251461988303,0.026206967982233
breast_cancer,GC,1.4743237850761255,0.0,0.4838245614035088,0.0076225103520806
breast_cancer,MADiffT,11.82050262651083,1.1730675257610328,0.4786783625730995,0.017903506623000293
breast_cancer,STaSy,17.420777932576378,0.8412287951508037,0.5183157894736843,0.0356722605685517
breast_cancer,TVAE,1.5843635307351356,0.0083623691640391,0.4777309941520468,0.0063181444602299
breast_cancer,TabDDPM,8.678051767805705,1.4391572219972826,0.4810409356725146,0.0169268902304096
breast_cancer,TabSyn,1.3200835170887837,0.0904121021037216,0.5123976608187134,0.020366205493067
credit,CTGAN,0.4578033369340531,0.0375248800111219,0.5152266666666666,0.0141851526447746
credit,GC,0.3896779326871826,0.014076196748662,0.52858,0.0068381933936448
credit,MADiffT,1.9717416254934488,1.0073614064325453,0.5245333333333333,0.029276830050020387
credit,STaSy,1.7454865717996677,0.3294245829844765,0.51434,0.0260557777768301
credit,TVAE,0.2138888335982515,0.0177691783544881,0.5147733333333333,0.0139866086748082
credit,TabDDPM,0.7474884059547033,0.0248827431979018,0.5561533333333333,0.0219388493570449
credit,TabSyn,0.3026882304119814,0.0236490744144692,0.5055066666666667,0.0354786195397234
heart,CTGAN,1.4933626934896702,0.3105332078612323,0.5092690574172055,0.0805313695191401
heart,GC,0.9223416924829924,0.0,0.508132471095434,0.0
heart,MADiffT,3.475820090540675,0.6905540726077456,0.4845776993925142,0.05901735627693418
heart,STaSy,3.340628296169065,0.2460143789746875,0.5179012345679013,0.0330500723661073
heart,TVAE,0.5473337804514438,0.0437031645835629,0.5448167744464041,0.0097671466917514
heart,TabDDPM,2.845362047629709,0.5296695320392496,0.5185185185185185,0.0387653070831424
heart,TabSyn,0.6907070997087696,0.1990334169151363,0.4485253772290809,0.053268469328218
pima,CTGAN,0.6785433698190363,0.0845261012281074,0.5171948051948052,0.0149888735181018
pima,GC,0.5854321017173971,0.0116070531409117,0.5079913419913419,0.006786299401025
pima,MADiffT,0.5272594650325905,0.06928416595398487,0.559064935064935,0.011830726101805878
pima,STaSy,4.612804803840779,0.2847359319430135,0.4837662337662337,0.0333575135775189
pima,TVAE,0.4253605664177495,0.0259210557090366,0.5085108225108226,0.0116860507673811
pima,TabDDPM,0.5276929151721743,0.0575034324080003,0.561064935064935,0.0114419114063876
pima,TabSyn,0.4314492717427927,0.0303003920504966,0.5042683982683983,0.0202552673865153
