dataset,dataset_display,method,method_display,mean_acc_pct,std_acc_pct,dcr_mean,mia_mean
adult_income,Adult Income,ctgan,CTGAN,82.14483139856273,0.3718936029088804,0.20290080207201616,0.5010022222222222
adult_income,Adult Income,gaussian_copula,GC,78.55168601437258,0.0,0.37532062470424565,0.49807999999999997
adult_income,Adult Income,madifft,MADiff-T,74.13377556661139,2.0922647142481097,1.743898910762086,0.49962
adult_income,Adult Income,stasy,STaSy,55.02968270214943,28.811935246976905,1.709593452513938,0.5095444444444445
adult_income,Adult Income,tabddpm_single,TabDDPM,72.05527915975678,2.147602115253171,0.44986752775157335,0.48649555555555557
adult_income,Adult Income,tabsyn,TabSyn,85.09314227226203,0.2701839255172376,0.18599567450372634,0.5110844444444445
adult_income,Adult Income,tvae,TVAE,80.25649530127141,1.2178338895396696,0.15705356378323151,0.5082577777777778
breast_cancer,Breast Cancer,ctgan,CTGAN,65.08771929824562,18.299515523375856,4.391351341507271,0.45472514619883037
breast_cancer,Breast Cancer,gaussian_copula,GC,92.98245614035088,0.0,1.4743237850761255,0.4838245614035088
breast_cancer,Breast Cancer,madifft,MADiff-T,65.08771929824562,4.8205725136961695,11.064690332704469,0.4507719298245614
breast_cancer,Breast Cancer,stasy,STaSy,31.57894736842105,9.84646680729985,17.420777932576378,0.5183157894736843
breast_cancer,Breast Cancer,tabddpm_single,TabDDPM,63.1578947368421,0.6202691063039864,9.090907657560368,0.47342690058479536
breast_cancer,Breast Cancer,tabsyn,TabSyn,89.82456140350877,10.408699631011455,1.3200835170887837,0.5123976608187134
breast_cancer,Breast Cancer,tvae,TVAE,92.28070175438597,2.353755765789254,1.5843635307351356,0.4777309941520468
credit,Credit,ctgan,CTGAN,67.6,3.267261850540902,0.4578033369340531,0.5152266666666666
credit,Credit,gaussian_copula,GC,69.0,0.0,0.38967793268718265,0.52858
credit,Credit,madifft,MADiff-T,61.999999999999986,12.394555256240537,1.9301677683929648,0.48206
credit,Credit,stasy,STaSy,43.0,16.446884203398525,1.7454865717996675,0.51434
credit,Credit,tabddpm_single,TabDDPM,68.0,2.5495097567963874,0.7308235059126742,0.56884
credit,Credit,tabsyn,TabSyn,72.8,1.923538406167134,0.30268823041198145,0.5055066666666667
credit,Credit,tvae,TVAE,70.19999999999999,2.4647515087732454,0.21388883359825156,0.5147733333333333
heart,Heart,ctgan,CTGAN,47.407407407407405,11.460554405011706,1.4933626934896702,0.5092690574172055
heart,Heart,gaussian_copula,GC,75.92592592592592,0.0,0.9223416924829924,0.508132471095434
heart,Heart,madifft,MADiff-T,53.333333333333336,16.635773838130152,3.567388616872047,0.44166176758769343
heart,Heart,stasy,STaSy,62.22222222222222,12.668615834434865,3.340628296169065,0.5179012345679013
heart,Heart,tabddpm_single,TabDDPM,41.11111111111111,9.015304773805989,3.0924917518604675,0.5505388986870468
heart,Heart,tabsyn,TabSyn,83.7037037037037,10.006856360078743,0.6907070997087696,0.4485253772290809
heart,Heart,tvae,TVAE,78.14814814814814,2.028602064833946,0.5473337804514438,0.5448167744464041
pima,PIMA,ctgan,CTGAN,59.480519480519476,5.709118088398253,0.6785433698190363,0.5171948051948052
pima,PIMA,gaussian_copula,GC,70.77922077922078,0.0,0.5854321017173971,0.5079913419913419
pima,PIMA,madifft,MADiff-T,64.02597402597404,3.298292233558522,0.5280627295928929,0.5443549783549784
pima,PIMA,stasy,STaSy,35.06493506493506,0.918320495047465,4.612804803840779,0.48376623376623373
pima,PIMA,tabddpm_single,TabDDPM,62.72727272727272,4.628189527585837,0.48613917913402227,0.5572900432900433
pima,PIMA,tabsyn,TabSyn,74.54545454545455,9.916160607179783,0.43144927174279274,0.5042683982683983
pima,PIMA,tvae,TVAE,71.55844155844156,1.0669919951399358,0.42536056641774955,0.5085108225108226
