dataset,method,seed,fpr,tpr
breast_cancer,gaussian_copula,1,0.140351,0.186667
breast_cancer,gaussian_copula,1,0.140351,0.203333
breast_cancer,gaussian_copula,1,0.175439,0.203333
breast_cancer,gaussian_copula,1,0.175439,0.246667
breast_cancer,gaussian_copula,1,0.192982,0.246667
breast_cancer,gaussian_copula,1,0.192982,0.26
breast_cancer,gaussian_copula,1,0.210526,0.26
breast_cancer,gaussian_copula,1,0.210526,0.273333
breast_cancer,gaussian_copula,1,0.22807,0.273333
breast_cancer,gaussian_copula,1,0.22807,0.28
breast_cancer,gaussian_copula,1,0.263158,0.28
breast_cancer,gaussian_copula,1,0.263158,0.36
breast_cancer,gaussian_copula,1,0.280702,0.36
breast_cancer,gaussian_copula,1,0.280702,0.363333
breast_cancer,gaussian_copula,1,0.298246,0.363333
breast_cancer,gaussian_copula,1,0.298246,0.383333
breast_cancer,gaussian_copula,1,0.350877,0.383333
breast_cancer,gaussian_copula,1,0.350877,0.396667
breast_cancer,gaussian_copula,1,0.368421,0.396667
breast_cancer,gaussian_copula,1,0.368421,0.426667
breast_cancer,gaussian_copula,1,0.45614,0.426667
breast_cancer,gaussian_copula,1,0.45614,0.47
breast_cancer,gaussian_copula,1,0.473684,0.47
breast_cancer,gaussian_copula,1,0.473684,0.5
breast_cancer,gaussian_copula,1,0.491228,0.5
breast_cancer,gaussian_copula,1,0.491228,0.51
breast_cancer,gaussian_copula,1,0.508772,0.51
breast_cancer,gaussian_copula,1,0.508772,0.54
breast_cancer,gaussian_copula,1,0.526316,0.54
breast_cancer,gaussian_copula,1,0.526316,0.553333
breast_cancer,gaussian_copula,1,0.54386,0.553333
breast_cancer,gaussian_copula,1,0.54386,0.56
breast_cancer,gaussian_copula,1,0.561404,0.56
breast_cancer,gaussian_copula,1,0.561404,0.593333
breast_cancer,gaussian_copula,1,0.578947,0.593333
breast_cancer,gaussian_copula,1,0.578947,0.606667
breast_cancer,gaussian_copula,1,0.596491,0.606667
breast_cancer,gaussian_copula,1,0.596491,0.613333
breast_cancer,gaussian_copula,1,0.614035,0.613333
breast_cancer,gaussian_copula,1,0.614035,0.643333
breast_cancer,gaussian_copula,1,0.631579,0.643333
breast_cancer,gaussian_copula,1,0.631579,0.66
breast_cancer,gaussian_copula,1,0.649123,0.66
breast_cancer,gaussian_copula,1,0.649123,0.703333
breast_cancer,gaussian_copula,1,0.666667,0.703333
breast_cancer,gaussian_copula,1,0.666667,0.713333
breast_cancer,gaussian_copula,1,0.684211,0.713333
breast_cancer,gaussian_copula,1,0.684211,0.716667
breast_cancer,gaussian_copula,1,0.701754,0.716667
breast_cancer,gaussian_copula,1,0.701754,0.726667
breast_cancer,gaussian_copula,1,0.736842,0.726667
breast_cancer,gaussian_copula,1,0.736842,0.746667
breast_cancer,gaussian_copula,1,0.754386,0.746667
breast_cancer,gaussian_copula,1,0.754386,0.76
breast_cancer,gaussian_copula,1,0.77193,0.76
breast_cancer,gaussian_copula,1,0.77193,0.78
breast_cancer,gaussian_copula,1,0.789474,0.78
breast_cancer,gaussian_copula,1,0.789474,0.79
breast_cancer,gaussian_copula,1,0.807018,0.79
breast_cancer,gaussian_copula,1,0.807018,0.8
breast_cancer,gaussian_copula,1,0.824561,0.8
breast_cancer,gaussian_copula,1,0.824561,0.813333
breast_cancer,gaussian_copula,1,0.842105,0.813333
breast_cancer,gaussian_copula,1,0.842105,0.82
breast_cancer,gaussian_copula,1,0.859649,0.82
breast_cancer,gaussian_copula,1,0.859649,0.826667
breast_cancer,gaussian_copula,1,0.894737,0.826667
breast_cancer,gaussian_copula,1,0.894737,0.833333
breast_cancer,gaussian_copula,1,0.912281,0.833333
breast_cancer,gaussian_copula,1,0.912281,0.84
breast_cancer,gaussian_copula,1,0.929825,0.84
breast_cancer,gaussian_copula,1,0.929825,0.85
breast_cancer,gaussian_copula,1,0.947368,0.85
breast_cancer,gaussian_copula,1,0.947368,0.913333
breast_cancer,gaussian_copula,1,0.964912,0.913333
breast_cancer,gaussian_copula,1,0.964912,0.946667
breast_cancer,gaussian_copula,1,0.982456,0.946667
breast_cancer,gaussian_copula,1,0.982456,0.973333
breast_cancer,gaussian_copula,1,1.0,0.973333
breast_cancer,gaussian_copula,1,1.0,1.0
breast_cancer,gaussian_copula,2,0.0,0.0
breast_cancer,gaussian_copula,2,0.0,0.003333
breast_cancer,gaussian_copula,2,0.0,0.01
breast_cancer,gaussian_copula,2,0.017544,0.01
breast_cancer,gaussian_copula,2,0.017544,0.03
breast_cancer,gaussian_copula,2,0.035088,0.03
breast_cancer,gaussian_copula,2,0.035088,0.043333
breast_cancer,gaussian_copula,2,0.052632,0.043333
breast_cancer,gaussian_copula,2,0.052632,0.076667
breast_cancer,gaussian_copula,2,0.070175,0.076667
breast_cancer,gaussian_copula,2,0.070175,0.103333
breast_cancer,gaussian_copula,2,0.087719,0.103333
breast_cancer,gaussian_copula,2,0.087719,0.116667
breast_cancer,gaussian_copula,2,0.105263,0.116667
breast_cancer,gaussian_copula,2,0.105263,0.126667
breast_cancer,gaussian_copula,2,0.122807,0.126667
breast_cancer,gaussian_copula,2,0.122807,0.15
breast_cancer,gaussian_copula,2,0.140351,0.15
breast_cancer,gaussian_copula,2,0.140351,0.163333
breast_cancer,gaussian_copula,2,0.157895,0.163333
breast_cancer,gaussian_copula,2,0.157895,0.166667
breast_cancer,gaussian_copula,2,0.175439,0.166667
breast_cancer,gaussian_copula,2,0.175439,0.176667
breast_cancer,gaussian_copula,2,0.192982,0.176667
breast_cancer,gaussian_copula,2,0.192982,0.18
breast_cancer,gaussian_copula,2,0.210526,0.18
breast_cancer,gaussian_copula,2,0.210526,0.243333
breast_cancer,gaussian_copula,2,0.22807,0.243333
breast_cancer,gaussian_copula,2,0.22807,0.246667
breast_cancer,gaussian_copula,2,0.245614,0.246667
breast_cancer,gaussian_copula,2,0.245614,0.266667
breast_cancer,gaussian_copula,2,0.280702,0.266667
breast_cancer,gaussian_copula,2,0.280702,0.283333
breast_cancer,gaussian_copula,2,0.298246,0.283333
breast_cancer,gaussian_copula,2,0.298246,0.286667
breast_cancer,gaussian_copula,2,0.315789,0.286667
breast_cancer,gaussian_copula,2,0.315789,0.29
breast_cancer,gaussian_copula,2,0.333333,0.29
breast_cancer,gaussian_copula,2,0.333333,0.303333
breast_cancer,gaussian_copula,2,0.350877,0.303333
breast_cancer,gaussian_copula,2,0.350877,0.306667
breast_cancer,gaussian_copula,2,0.368421,0.306667
breast_cancer,gaussian_copula,2,0.368421,0.32
breast_cancer,gaussian_copula,2,0.385965,0.32
breast_cancer,gaussian_copula,2,0.385965,0.34
breast_cancer,gaussian_copula,2,0.403509,0.34
breast_cancer,gaussian_copula,2,0.403509,0.346667
breast_cancer,gaussian_copula,2,0.421053,0.346667
breast_cancer,gaussian_copula,2,0.421053,0.35
breast_cancer,gaussian_copula,2,0.438596,0.35
breast_cancer,gaussian_copula,2,0.438596,0.353333
breast_cancer,gaussian_copula,2,0.45614,0.353333
breast_cancer,gaussian_copula,2,0.45614,0.373333
breast_cancer,gaussian_copula,2,0.473684,0.373333
breast_cancer,gaussian_copula,2,0.473684,0.393333
breast_cancer,gaussian_copula,2,0.491228,0.393333
breast_cancer,gaussian_copula,2,0.491228,0.406667
breast_cancer,gaussian_copula,2,0.508772,0.406667
breast_cancer,gaussian_copula,2,0.508772,0.44
breast_cancer,gaussian_copula,2,0.526316,0.44
breast_cancer,gaussian_copula,2,0.526316,0.453333
breast_cancer,gaussian_copula,2,0.54386,0.453333
breast_cancer,gaussian_copula,2,0.54386,0.496667
breast_cancer,gaussian_copula,2,0.561404,0.496667
breast_cancer,gaussian_copula,2,0.561404,0.5
breast_cancer,gaussian_copula,2,0.578947,0.5
breast_cancer,gaussian_copula,2,0.578947,0.543333
breast_cancer,gaussian_copula,2,0.596491,0.543333
breast_cancer,gaussian_copula,2,0.596491,0.55
breast_cancer,gaussian_copula,2,0.614035,0.55
breast_cancer,gaussian_copula,2,0.614035,0.563333
breast_cancer,gaussian_copula,2,0.631579,0.563333
breast_cancer,gaussian_copula,2,0.631579,0.57
breast_cancer,gaussian_copula,2,0.649123,0.57
breast_cancer,gaussian_copula,2,0.649123,0.613333
breast_cancer,gaussian_copula,2,0.684211,0.613333
breast_cancer,gaussian_copula,2,0.684211,0.63
breast_cancer,gaussian_copula,2,0.701754,0.63
breast_cancer,gaussian_copula,2,0.701754,0.633333
breast_cancer,gaussian_copula,2,0.719298,0.633333
breast_cancer,gaussian_copula,2,0.719298,0.733333
breast_cancer,gaussian_copula,2,0.736842,0.733333
breast_cancer,gaussian_copula,2,0.736842,0.786667
breast_cancer,gaussian_copula,2,0.754386,0.786667
breast_cancer,gaussian_copula,2,0.754386,0.803333
breast_cancer,gaussian_copula,2,0.77193,0.803333
breast_cancer,gaussian_copula,2,0.77193,0.846667
breast_cancer,gaussian_copula,2,0.789474,0.846667
breast_cancer,gaussian_copula,2,0.789474,0.856667
breast_cancer,gaussian_copula,2,0.807018,0.856667
breast_cancer,gaussian_copula,2,0.807018,0.896667
breast_cancer,gaussian_copula,2,0.824561,0.896667
breast_cancer,gaussian_copula,2,0.824561,0.91
breast_cancer,gaussian_copula,2,0.842105,0.91
breast_cancer,gaussian_copula,2,0.842105,0.923333
breast_cancer,gaussian_copula,2,0.859649,0.923333
breast_cancer,gaussian_copula,2,0.859649,0.926667
breast_cancer,gaussian_copula,2,0.877193,0.926667
breast_cancer,gaussian_copula,2,0.877193,0.936667
breast_cancer,gaussian_copula,2,0.894737,0.936667
breast_cancer,gaussian_copula,2,0.894737,0.94
breast_cancer,gaussian_copula,2,0.912281,0.94
breast_cancer,gaussian_copula,2,0.912281,0.956667
breast_cancer,gaussian_copula,2,0.929825,0.956667
breast_cancer,gaussian_copula,2,0.929825,0.96
breast_cancer,gaussian_copula,2,0.947368,0.96
breast_cancer,gaussian_copula,2,0.947368,0.963333
breast_cancer,gaussian_copula,2,0.964912,0.963333
breast_cancer,gaussian_copula,2,0.964912,0.976667
breast_cancer,gaussian_copula,2,0.982456,0.976667
breast_cancer,gaussian_copula,2,0.982456,0.983333
breast_cancer,gaussian_copula,2,1.0,0.983333
breast_cancer,gaussian_copula,2,1.0,1.0
breast_cancer,gaussian_copula,3,0.0,0.0
breast_cancer,gaussian_copula,3,0.0,0.003333
breast_cancer,gaussian_copula,3,0.0,0.01
breast_cancer,gaussian_copula,3,0.017544,0.01
