dataset,method,mean_acc_pct,std_acc_pct
breast_cancer,GC,92.98245614035088,0.0
breast_cancer,TVAE,92.28070175438596,2.3537557657892503
breast_cancer,CTGAN,65.08771929824562,18.29951552337585
breast_cancer,TabDDPM,63.33333333333333,0.3922926276315399
breast_cancer,TabSyn,89.82456140350877,10.40869963101145
breast_cancer,STaSy,31.57894736842105,9.84646680729984
breast_cancer,MADiffT,66.14035087719297,6.6689746697362144
adult_income,GC,78.55168601437258,0.0
adult_income,TVAE,80.25649530127141,1.21783388953966
adult_income,CTGAN,82.14483139856273,0.3718936029088799
adult_income,TabDDPM,73.53454947484799,1.8922985755914297
adult_income,TabSyn,85.09314227226203,0.27018392551723
adult_income,STaSy,55.02968270214943,28.8119352469769
adult_income,MADiffT,74.87451630735214,0.7689011203767634
pima,GC,70.77922077922078,0.0
pima,TVAE,71.55844155844156,1.06699199513993
pima,CTGAN,59.48051948051948,5.70911808839825
pima,TabDDPM,62.33766233766234,5.07159069864068
pima,TabSyn,74.54545454545455,9.91616060717978
pima,STaSy,35.06493506493506,0.91832049504746
pima,MADiffT,65.06493506493507,1.5503034267939342
heart,GC,75.92592592592592,0.0
heart,TVAE,78.14814814814814,2.02860206483394
heart,CTGAN,47.4074074074074,11.4605544050117
heart,TabDDPM,47.4074074074074,15.96249032556292
heart,TabSyn,83.7037037037037,10.00685636007874
heart,STaSy,62.22222222222222,12.66861583443486
heart,MADiffT,54.8148148148148,9.314649140710591
credit,GC,69.0,0.0
credit,TVAE,70.19999999999999,2.46475150877324
credit,CTGAN,67.6,3.2672618505409
credit,TabDDPM,70.1,0.41833001326703
credit,TabSyn,72.8,1.92353840616713
credit,STaSy,43.0,16.446884203398522
credit,MADiffT,64.0,11.079259903080168
