dataset,method,seed,dcr_q,norm_dcr,mia_auc
breast_cancer,GC,0,1.4743237850761255,1.3714977348067254,0.4900584795321638
breast_cancer,TVAE,0,1.575022517065366,1.465173278957308,0.4835672514619883
breast_cancer,CTGAN,0,4.523641493367715,4.208142148986076,0.4432748538011696
breast_cancer,TabDDPM,0,9.497509408023666,8.835109879704914,0.4647953216374269
breast_cancer,MADiffT,0,7.379877694332049,6.865171438853555,0.496140350877193
breast_cancer,GC,1,1.4743237850761255,1.3714977348067254,0.4880701754385965
breast_cancer,TVAE,1,1.580911647567643,1.47065167469752,0.479766081871345
breast_cancer,CTGAN,1,4.23071217861075,3.9356430577318986,0.4880116959064327
breast_cancer,TabDDPM,1,6.5433604459729855,6.086996710300308,0.4895906432748538
breast_cancer,MADiffT,1,11.329526788114794,10.53935403038298,0.4533333333333333
breast_cancer,GC,2,1.4743237850761255,1.3714977348067254,0.4894736842105263
breast_cancer,TVAE,2,1.5832676394987326,1.4728433490294548,0.4704093567251462
breast_cancer,CTGAN,2,4.186507586305866,3.894521494864979,0.4563742690058479
breast_cancer,TabDDPM,2,10.368435410335238,9.645293539119267,0.5026900584795322
breast_cancer,MADiffT,2,8.96077042727009,8.335805518113819,0.4649707602339181
breast_cancer,GC,3,1.4743237850761255,1.3714977348067254,0.4783625730994152
breast_cancer,TVAE,3,1.5848698876610838,1.4743338491132945,0.4832748538011696
breast_cancer,CTGAN,3,4.8608707755238205,4.521851526308315,0.4677777777777779
breast_cancer,TabDDPM,3,8.74396304868179,8.134119272776685,0.4850877192982456
breast_cancer,MADiffT,3,13.097087992852328,12.183637472710137,0.4770760233918129
breast_cancer,GC,4,1.4743237850761255,1.3714977348067254,0.4731578947368421
breast_cancer,TVAE,4,1.597745961882852,1.4863118873211272,0.4716374269005848
breast_cancer,CTGAN,4,4.155024673728201,3.8652343438860255,0.418187134502924
breast_cancer,TabDDPM,4,8.236990526014846,7.6625053210211265,0.4630409356725146
breast_cancer,MADiffT,4,4.314587888602186,4.013668893998673,0.4723976608187135
adult_income,GC,0,0.3646306224022659,2.25181800354361,0.5387555555555555
adult_income,TVAE,0,0.1500243547338468,0.9264925165473152,0.5372222222222223
adult_income,CTGAN,0,0.2177143513216604,1.3445198121486328,0.5340666666666667
adult_income,TabDDPM,0,0.3492127599945068,2.156603235466209,0.5088111111111111
adult_income,MADiffT,0,0.4300448525595603,2.655791043947321,0.5227999999999999
adult_income,GC,1,0.3750146564046606,1.8524575382128672,0.4877666666666667
adult_income,TVAE,1,0.1465623915023557,0.7239733229628257,0.5050666666666668
adult_income,CTGAN,1,0.2121174907702527,1.047795434267378,0.4904666666666666
adult_income,TabDDPM,1,0.4600648620529975,2.272579503818952,0.4980777777777777
adult_income,MADiffT,1,0.3837795752429819,1.89575355263944,0.4876777777777777
adult_income,GC,2,0.362360728144783,2.5039043298296177,0.5164444444444445
adult_income,TVAE,2,0.1725391777428564,1.192241765346503,0.5239444444444444
adult_income,CTGAN,2,0.2036347288359296,1.4071113110034337,0.4867
adult_income,TabDDPM,2,0.4627911570760126,3.197876292892558,0.4946666666666666
adult_income,MADiffT,2,0.3735014450581039,2.580886428467869,0.5028666666666667
adult_income,GC,3,0.4057036350914849,2.477288433841065,0.4743666666666666
adult_income,TVAE,3,0.1469700762122123,0.8974217592089183,0.4927444444444444
adult_income,CTGAN,3,0.1981037211127004,1.209651614047539,0.4951333333333333
adult_income,TabDDPM,3,0.3933662547546929,2.401954502940147,0.4743555555555555
adult_income,MADiffT,3,0.4814908145234359,2.940056540411944,0.4733888888888888
adult_income,GC,4,0.3688934814780339,2.402005762525273,0.4730666666666666
adult_income,TVAE,4,0.1691718187248864,1.1015420543782497,0.4823111111111111
adult_income,CTGAN,4,0.1829337183195379,1.1911510168277943,0.4986444444444444
adult_income,TabDDPM,4,0.4564356936625046,2.9720264017862306,0.4719666666666667
adult_income,MADiffT,4,0.5410984041375271,3.5232975102298263,0.4818333333333333
pima,GC,0,0.5802211245069753,1.199457221153462,0.5091774891774891
pima,TVAE,0,0.459501244878688,0.9499000691625484,0.494025974025974
pima,CTGAN,0,0.7319550965838274,1.5131279939239737,0.5233333333333333
pima,TabDDPM,0,0.5144085394590007,1.063406710332013,0.5442424242424242
pima,MADiffT,0,0.5175762089565943,1.0699550483580451,0.5370562770562771
pima,GC,1,0.6061953355526416,1.4035267791110817,0.5151082251082251
pima,TVAE,1,0.4154179355195183,0.9618190092029384,0.5033766233766233
pima,CTGAN,1,0.6856641504081046,1.5875212825530782,0.531948051948052
pima,TabDDPM,1,0.4899994529761051,1.1344979310584336,0.5586147186147186
pima,MADiffT,1,0.4920113353459444,1.139156051332349,0.5767099567099567
pima,GC,2,0.5802211245069753,1.2005727782859352,0.4967099567099567
pima,TVAE,2,0.4001282840618593,0.8279311203554005,0.5212121212121212
pima,CTGAN,2,0.7854716107593254,1.6252697362498651,0.4926839826839826
pima,TabDDPM,2,0.5986699787817071,1.2387464870622706,0.565064935064935
pima,MADiffT,2,0.5393976281563166,1.1161022611624816,0.5105194805194805
pima,GC,3,0.5803017995134184,1.2020552270651603,0.5099567099567099
pima,TVAE,3,0.4457014042981603,0.9232397748828582,0.5198701298701299
pima,CTGAN,3,0.5843265934552804,1.210392310630526,0.5147619047619048
pima,TabDDPM,3,0.4611619873211677,0.9552653082378538,0.5615584415584416
pima,MADiffT,3,0.4820203364493728,0.9984719424728892,0.5221645021645022
pima,GC,4,0.5802211245069753,1.1270318244298587,0.5090043290043289
pima,TVAE,4,0.4060539633305217,0.7887264351125347,0.5040692640692641
pima,CTGAN,4,0.6052993978886435,1.1757443083589965,0.5232467532467533
pima,TabDDPM,4,0.5742246173228915,1.1153841023004252,0.5758441558441558
pima,MADiffT,4,0.5097102205785341,0.9900701914589892,0.5496969696969697
heart,GC,0,0.9223416924829922,2.222421065425428,0.508132471095434
heart,TVAE,0,0.5268523679872155,1.269472919338565,0.5451695081324711
heart,CTGAN,0,1.416554262543959,3.4132470201155187,0.4334705075445816
heart,TabDDPM,0,2.1390476555703697,5.154125210246987,0.519302371154223
heart,MADiffT,0,3.0888027778968103,7.442600086810055,0.5169508132471096
heart,GC,1,0.9223416924829922,2.222421065425428,0.508132471095434
heart,TVAE,1,0.5077925010477323,1.2235473690400849,0.5463452870860278
heart,CTGAN,1,1.5318089968194963,3.6909581454300526,0.508132471095434
heart,TabDDPM,1,2.516623198452245,6.063909346786597,0.4622770919067215
heart,MADiffT,1,2.4482562586134966,5.899176332422608,0.61747991377621
heart,GC,2,0.9223416924829922,2.222421065425428,0.508132471095434
heart,TVAE,2,0.6166096208127333,1.485746791678804,0.5600627082108564
heart,CTGAN,2,1.7857522126250336,4.302844994769793,0.5206741132667059
heart,TabDDPM,2,3.169561296848536,7.63719113174884,0.567509308250049
heart,MADiffT,2,4.0729803444381165,9.814017289161956,0.4885361552028219
heart,GC,3,0.9223416924829922,2.222421065425428,0.508132471095434
heart,TVAE,3,0.5628927568385377,1.3563137507160092,0.5361552028218695
heart,CTGAN,3,1.0053855295555367,2.4225186804068555,0.4473838918283362
heart,TabDDPM,3,2.9201752974358133,7.0362850868047335,0.5363511659807956
heart,MADiffT,3,2.9610956383827745,7.134884367815328,0.6670585929845189
heart,GC,4,0.9223416924829922,2.222421065425428,0.508132471095434
heart,TVAE,4,0.5225216555710005,1.2590378857923905,0.5363511659807956
heart,CTGAN,4,1.7273124659043255,4.162031969370724,0.63668430335097
heart,TabDDPM,4,3.481402789841583,8.388586312894512,0.5071526553008034
heart,MADiffT,4,3.003546932918842,7.237172545830521,0.5430139133842837
credit,GC,0,0.3922163718798578,1.2163439364113262,0.5387666666666666
credit,TVAE,0,0.2201264718840038,0.6826576311346388,0.5195333333333334
credit,CTGAN,0,0.4440801105775587,1.3771840966071216,0.4929333333333333
credit,TabDDPM,0,0.7763753089276565,2.4077001040713606,0.5440666666666667
credit,MADiffT,0,0.6953268355057902,2.156352056743344,0.5585666666666667
credit,GC,1,0.3923812855998393,1.2959337155823525,0.5203666666666668
credit,TVAE,1,0.2103540724997127,0.6947449961730384,0.4943
credit,CTGAN,1,0.446722297429846,1.4754079972410952,0.5199333333333334
credit,TabDDPM,1,0.761874886899254,2.5162753403972205,0.5802666666666667
credit,MADiffT,1,0.6824058290476525,2.2538096337108846,0.5355
credit,GC,2,0.392407710380488,1.218970561553389,0.5250333333333334
credit,TVAE,2,0.2099997901357529,0.6523408060959474,0.5077333333333334
credit,CTGAN,2,0.5171133721628651,1.6063547197911467,0.5207
credit,TabDDPM,2,0.7104570400775004,2.2069551494365625,0.5625
credit,MADiffT,2,0.8876670866304817,2.7574382929765746,0.5554666666666667
credit,GC,3,0.3664622125261327,1.212741738193895,0.5303666666666667
credit,TVAE,3,0.2389333377160468,0.790707531062467,0.5301666666666667
credit,CTGAN,3,0.4159705238267348,1.3765807192660704,0.5308333333333333
credit,TabDDPM,3,0.7490778207761628,2.478940276402433,0.5247333333333334
credit,MADiffT,3,0.7927828550084565,2.6235743406278567,0.5471333333333334
credit,GC,4,0.4049220830495955,1.2580915062843143,0.5283666666666667
credit,TVAE,4,0.1900304957557416,0.5904240905922971,0.5221333333333333
credit,CTGAN,4,0.465130380673261,1.4451584779784563,0.5117333333333333
credit,TabDDPM,4,0.7396569730929432,2.298111647564111,0.5692
credit,MADiffT,4,0.6976949564853144,2.167735807641957,0.5587333333333334
adult_income,TabSyn,0,0.19569566973779803,1.1890304611677294,0.5360888888888888
adult_income,TabSyn,1,0.19067409781957081,0.7579654165814386,0.47909999999999997
adult_income,TabSyn,2,0.1890314686180784,1.2492339373187153,0.4771222222222222
adult_income,TabSyn,3,0.1774508049628178,0.8321559502016341,0.5
adult_income,TabSyn,4,0.1771263313803667,1.0298124769750239,0.5631111111111111
adult_income,STaSy,0,1.5144863805272966,9.201892110762445,0.5237777777777777
adult_income,STaSy,1,1.93490857895848,7.691625678937562,0.5018666666666667
adult_income,STaSy,2,1.6927415119539868,11.186656694254118,0.5074444444444444
adult_income,STaSy,3,1.7184430254847671,8.058642444813286,0.48725555555555555
adult_income,STaSy,4,1.6873877656451601,9.810472339230108,0.5273777777777777
breast_cancer,TabSyn,0,1.224498213026874,0.99437711740682,0.5321637426900585
breast_cancer,TabSyn,1,1.3225068885824212,1.1901439969326189,0.5340350877192983
breast_cancer,TabSyn,2,1.2789810136145123,1.0475896820931514,0.48970760233918126
breast_cancer,TabSyn,3,1.307053136098772,1.126225760243152,0.5104678362573098
breast_cancer,TabSyn,4,1.467378334121339,1.264095274377843,0.4956140350877193
breast_cancer,STaSy,0,17.555689211805742,14.256432101581412,0.5335087719298246
breast_cancer,STaSy,1,16.825972879030243,15.141948058957789,0.4766666666666667
breast_cancer,STaSy,2,16.9448589779387,13.879220442565813,0.5446783625730994
breast_cancer,STaSy,3,16.94150483809237,14.597692044022436,0.5532163742690058
breast_cancer,STaSy,4,18.835863756014827,16.226439909282682,0.48350877192982455
pima,TabSyn,0,0.45867522629791735,1.0934224817718554,0.5206493506493507
pima,TabSyn,1,0.40139676173768085,0.9163183787254795,0.518961038961039
pima,TabSyn,2,0.3962137626105658,0.8449680952892192,0.5144155844155844
pima,TabSyn,3,0.4560546914743529,1.0328336401909866,0.4937662337662338
pima,TabSyn,4,0.44490591659344686,1.050479075797767,0.4735497835497836
pima,STaSy,0,4.82271200497781,11.496722358248068,0.438051948051948
pima,STaSy,1,4.877713792609158,11.1349647540292,0.46705627705627706
pima,STaSy,2,4.215679848141228,8.99038677546949,0.5254545454545454
pima,STaSy,3,4.731016825779657,10.71440206914219,0.5021645021645021
pima,STaSy,4,4.416901547696043,10.4288625587179,0.48610389610389604
heart,TabSyn,0,0.6823183489808106,0.8182517301736708,0.3940329218106996
