dataset,seed,label,utility,mia_auc
adult_income,0,Selected (privacy-in-loop),66.23225252920962,0.5181888888888889
adult_income,0,Utility-only pick,77.8229314655125,0.5262
adult_income,0,Privacy-only pick,61.54421416588134,0.4471444444444444
adult_income,1,Selected (privacy-in-loop),30.584648480376497,0.4988111111111111
adult_income,1,Utility-only pick,71.32318660220335,0.4636888888888889
adult_income,1,Privacy-only pick,47.62347907852913,0.4619
adult_income,2,Selected (privacy-in-loop),62.58415184225472,0.5363888888888889
adult_income,2,Utility-only pick,70.41111882027731,0.5319999999999999
adult_income,2,Privacy-only pick,47.322205387920505,0.4698555555555556
adult_income,3,Selected (privacy-in-loop),76.9755787250088,0.4925333333333334
adult_income,3,Utility-only pick,76.9755787250088,0.4925333333333334
adult_income,3,Privacy-only pick,65.60487324190368,0.4811111111111111
adult_income,4,Selected (privacy-in-loop),64.67445030236189,0.5102666666666666
adult_income,4,Utility-only pick,73.83126156047159,0.5382111111111111
adult_income,4,Privacy-only pick,44.82759524884611,0.5001333333333333
adult_income,1000,Selected (privacy-in-loop),51.09624867777312,0.5175888888888889
adult_income,1000,Utility-only pick,71.65449719716744,0.5306333333333334
adult_income,1000,Privacy-only pick,64.69704025705612,0.4778555555555555
adult_income,1001,Selected (privacy-in-loop),67.95593293759613,0.5353222222222223
adult_income,1001,Utility-only pick,72.5822717496818,0.5180777777777779
adult_income,1001,Privacy-only pick,25.50915896143372,0.4686555555555556
adult_income,1002,Selected (privacy-in-loop),68.82662294992556,0.4726111111111111
adult_income,1002,Utility-only pick,79.24195558995837,0.5176777777777778
adult_income,1002,Privacy-only pick,27.18821011516026,0.4616888888888889
adult_income,1003,Selected (privacy-in-loop),63.187551427218395,0.5430333333333334
adult_income,1003,Utility-only pick,74.81570110671112,0.5233666666666666
adult_income,1003,Privacy-only pick,54.92922513439908,0.4688111111111111
adult_income,1004,Selected (privacy-in-loop),65.73919366317027,0.5803222222222223
adult_income,1004,Utility-only pick,69.29724919119309,0.5075333333333334
adult_income,1004,Privacy-only pick,65.92986441831718,0.4569777777777778
adult_income,2000,Selected (privacy-in-loop),68.83281126020744,0.5127999999999999
adult_income,2000,Utility-only pick,73.16837815400608,0.5399555555555555
adult_income,2000,Privacy-only pick,35.6271642697453,0.4699
adult_income,2001,Selected (privacy-in-loop),74.86835418741455,0.474211111111111
adult_income,2001,Utility-only pick,76.09424272126223,0.4908666666666667
adult_income,2001,Privacy-only pick,67.73040049380619,0.4581555555555556
adult_income,2002,Selected (privacy-in-loop),55.348679818399305,0.4900111111111111
adult_income,2002,Utility-only pick,74.03290607770734,0.5307555555555556
adult_income,2002,Privacy-only pick,48.180007457438315,0.4658
adult_income,2003,Selected (privacy-in-loop),63.596111014090994,0.4995888888888888
adult_income,2003,Utility-only pick,72.6523097868127,0.5098444444444444
adult_income,2003,Privacy-only pick,47.966681193462826,0.4932222222222223
adult_income,2004,Selected (privacy-in-loop),71.11734662036972,0.4712111111111111
adult_income,2004,Utility-only pick,71.11734662036972,0.4712111111111111
adult_income,2004,Privacy-only pick,71.11734662036972,0.4712111111111111
adult_income,3000,Selected (privacy-in-loop),59.45702297174198,0.4652666666666667
adult_income,3000,Utility-only pick,74.25914650614818,0.4894444444444444
adult_income,3000,Privacy-only pick,59.45702297174198,0.4652666666666667
adult_income,3001,Selected (privacy-in-loop),75.77641005631885,0.5113444444444445
adult_income,3001,Utility-only pick,76.75945985491035,0.4939111111111111
adult_income,3001,Privacy-only pick,29.665251746231032,0.4516333333333333
adult_income,3002,Selected (privacy-in-loop),76.15358232366857,0.4850888888888889
adult_income,3002,Utility-only pick,76.15358232366857,0.4850888888888889
adult_income,3002,Privacy-only pick,63.791934324197186,0.4663333333333332
adult_income,3003,Selected (privacy-in-loop),71.53332693524983,0.5445888888888889
adult_income,3003,Utility-only pick,74.96243748102208,0.5091111111111111
adult_income,3003,Privacy-only pick,49.881189686918695,0.4705666666666666
adult_income,3004,Selected (privacy-in-loop),70.372599210938,0.5138666666666667
adult_income,3004,Utility-only pick,73.42204643225556,0.4878555555555555
adult_income,3004,Privacy-only pick,63.388986171224246,0.4844888888888888
adult_income,4000,Selected (privacy-in-loop),71.54858793772462,0.5175333333333333
adult_income,4000,Utility-only pick,75.79612873992892,0.4950666666666666
