dataset,method,seed,dcr_q,norm_dcr,mia_auc,status,notes
adult_income,TabSyn,0,0.19569566973779803,1.1890304611677294,0.5360888888888888,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,1,0.19067409781957081,0.7579654165814386,0.47909999999999997,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,2,0.1890314686180784,1.2492339373187153,0.4771222222222222,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,3,0.1774508049628178,0.8321559502016341,0.5,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,4,0.1771263313803667,1.0298124769750239,0.5631111111111111,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,0,1.5144863805272966,9.201892110762445,0.5237777777777777,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,1,1.93490857895848,7.691625678937562,0.5018666666666667,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,2,1.6927415119539868,11.186656694254118,0.5074444444444444,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,3,1.7184430254847671,8.058642444813286,0.48725555555555555,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,4,1.6873877656451601,9.810472339230108,0.5273777777777777,OK,"Samples: real(500), syn(800)"
breast_cancer,TabSyn,0,1.224498213026874,0.99437711740682,0.5321637426900585,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,1,1.3225068885824212,1.1901439969326189,0.5340350877192983,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,2,1.2789810136145123,1.0475896820931514,0.48970760233918126,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,3,1.307053136098772,1.126225760243152,0.5104678362573098,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,4,1.467378334121339,1.264095274377843,0.4956140350877193,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,0,17.555689211805742,14.256432101581412,0.5335087719298246,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,1,16.825972879030243,15.141948058957789,0.4766666666666667,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,2,16.9448589779387,13.879220442565813,0.5446783625730994,OK,"Samples: real(455), syn(455)"
